,tweet_ID,Tweet,Hatred/No Hatred
0,1245754835632377858,mean kinda knew cause whole cast fuck corona,1
1,1256622191027748864,sorry hear,0
2,1273292072594878466,aboard express trying kill supporter,1
3,1250910351580938245,perhaps serf purpose weed quack,1
4,1253513066928500736,indiafightscorona emergency response health system via namo app,0
5,1245795639885168641,sba forgivable loan small business cashflow assistance crisis learnmore lopezgovlaw blog,0
6,1265198515380203520,watch second episode series fintech leadership crisis mikaal abdulla ceo cofounder 8 security answer question dealing pandemic roboadvisor digitalbanking,0
7,1245885720759283712,winning weeknd,0
8,1274769012782764034,bad deed done using excuse see,1
9,1263790019950661632,desantis issued stayathome order florida already logged 188 death smartnews,0
10,1238195051492249600,im already worried dont need top,0
11,1247038997458796544,frontline worker train risky circumstance wage rate industrial condition designed factor lifeanddeath hazard going beyond job description serve community,0
12,1263503239338549248,think janta need updated symptom 19 every simple fever corona arvindkejriwal msisodia,0
13,1240353959669313536,whats able play re3r ff7r thanks digital preorder ps4share,0
14,1267556023029637120,marchyden noted opposition consolidating polling place polling location fewer number voter visit one thereby reducing risk contracting javmanjarres,0
15,1240031302243487746,nothing irrelevant added anything bill originally stated lab testing would federally paid republican fantasist decided federal medical payment precedent could later somehow twisted,1
16,1275977864643375104,record highest oneday total case since april via yahooindia odor human body attraction virus reach human lung,0
17,1276188766235959303,connecticut best public health response state hand mask,0
18,1250853635380125696,name ian lamb live newark make suggestion horrible corona virus outbreak awarding frontline people nightingale cross would recognise contribution saving life think,1
19,1267467599723593728,actually able control every state india similar european country cm play important role containing,0
20,1279122236503478275,another experimental vaccine shown promising early result mit technology review,0
21,1246156913307455488,strongly encouraging author post submitted paper preprint serversexpediting review papersall accepted research content immediately made freely available first release section website sent,0
22,1272669947215446024,kano state gave people nigerian middle finger,1
23,1269640023248257025,maharashtra gov failed miserably tackling situation beloved mumbai sonusood tirelessly helping poor migrant reach hometown instead appreciation dey criticising bcoz dey hav exposed clear cant swallow,1
24,1243072726891245568,excellent piece fact,0
25,1239742775261831170,cosmopolitan la vega temporarily closed beginning wednesday march 18 2020 6pm march 31 2020 weve dmd detail read,0
26,1264305536436244481,dozen individual group urging state reopen amid pandemic historical financial tie coal oil gas company conservative billionaire invested climate disinformation,1
27,1252198197721739264,world bank imf global agency discussed strategy help african country combat yennews citicbs joysms rysenshyne daybreakhitz,0
28,1271376593521385473,forget thank friendly neighbourhood toryvoter,0
29,1247675689723138048,report wuhan funeral home burned victim alive via breitbartnews,0
30,1251327016277815296,transport canada made wearing mask mandatory airplane thought wed bring tweet forward january pattyhajdu cphocanada canada first case tht 15 hour flight wuhan,0
31,1246444960808931334,check example country government east managed spread effect outleadership member firm kpmg impactmanagement flattenthecurve kpmg,0
32,1277935154540011524,test people ever use case rather death make look scary 150 100k majority astmptomatic cold according cdc sure life going worth living,1
33,1244467000677564418,govt many state decided release thousand prisoner parole reduce congestion jail view corona menace elderly people prone infection demand releaseasharamjibapuonparole,0
34,1245379685372043266,go testing clinic stuff corona kind worried maybe proximity,0
35,1243174271876239364,obviously cascade effect newly unemployed spend le duh crashing business income causing lay people also illness hospitalization death going illustrate word exponential april depression coming,1
36,1275319872512294914,bien haces aqu se hipotetiza sobre el tema dicen que el aumento de casos j venes cannot attributed greater testing likely seeing rise new infection increased mobility large social network younger people,0
37,1258439426373496833,vice versa equally tired people wearing mask telling reason aint worried,1
38,1266111492878995468,also made bad remark senior communal living arrangement going bar rep dixson pointed 64 death due lack timely decision relative senior living place gov cooper focused 1st vulnerable,1
39,1266080192453398528,rep darren jackson try sarcasm debating bill open bar know people make really good decision drinking wow thanks carolinajournal johnlockenc deregulator therightaoc chuckmcgrady,1
40,1287798039537692674,pandemic increasing cost provider amga urged cm modify medicare shared saving program protect provider increased cost pandemic opposed cancelation program 2021 application cycle,0
41,1246615092449308672,r many ppl know getting corona pls pray,0
42,1275835796118016000,police officer help ensure 19 safety protocol leave post immediately sunsetwhich give driver chance whatevrr want argue mate tell cant get bus,1
43,1278872967104077824,see people large gathering right would automatically feel like corona,0
44,1265023836224999425,wisconsin rent assistance program wrap provide short term financial assistance wisconsinite experienced income loss result prevent eviction rent moratorium expire check info,0
45,1270988435491151872,rapid testing discontinued many country due innacuracy question many pcr test done ap telangana,0
46,1256244684889960449,final straw compromise cause death initial condition,1
47,1265042919628705792,ever work corona virus,0
48,1235320008227553280,think ive heard said meek inherit earth corona virus continues much way actually agoraphobic,0
49,1242419769422295041,people skipping zoom meeting looping video paying attention world workforce continues move online working home pandemic employee finding creative way appear online,0
50,1245897696344489986,corona virus joke people acting like doesnt exist losing people daily choose follow rule please sit home really aint hard im truly sorrymay rest peace,1
51,1240118585609072640,theory hold youd assume every european country run someone incompetent trump,1
52,1240118380176257024,point administrative incompetence seem valid explanation chaos given every single european country going exact thing right similar worse hospital caseloads,1
